Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FGpct,Threes,ThreesA,Threepct,Twos,TwosA,Twopct,eFGpct,FT,FTA,FTpct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlayerID
180,Eric Gordon,SG,35,PHO,34,19,30.6,4.8,10.6,45.3%,2.6,6.6,39.3%,2.2,4,0.551,57.5%,0.8,1,76.5%,0.3,1.8,2.1,2.4,0.9,0.5,1.3,1.3,12.9,gordoer01
181,Devonte' Graham,PG,28,SAS,9,0,9.2,1.1,2.9,38.5%,0.7,2,33.3%,0.4,0.9,0.5,50.0%,0.7,0.9,75.0%,0.2,1,1.2,2.1,0.3,0.1,0.3,0.4,3.6,grahade01
182,Jerami Grant,PF,29,POR,35,35,33.7,7.5,16.3,45.9%,2.3,5.5,41.2%,5.2,10.7,0.483,52.9%,4.2,5.2,80.2%,0.7,2.9,3.6,2.4,0.7,0.7,2.1,2.3,21.4,grantje01
183,A.J. Green,SG,24,MIL,26,0,7.8,1.2,2.7,42.9%,1,2.3,41.7%,0.2,0.4,0.5,60.7%,0.2,0.2,100.0%,0.2,0.6,0.8,0.6,0,0,0,0.9,3.4,greenaj01
184,Danny Green,SG,36,PHI,2,0,9,0,1,0.0%,0,0.5,0.0%,0,0.5,0,0.0%,0,0,0.0%,0,1,1,0.5,0.5,0,0,0.5,0,greenda02
185,Draymond Green,PF,33,GSW,16,15,25.1,3.3,6.8,49.1%,1.2,2.7,44.2%,2.1,4.1,0.523,57.9%,1.7,2,84.4%,1.4,4.3,5.6,5.7,0.4,0.7,2.4,3.1,9.5,greendr01
186,Jalen Green,SG,21,HOU,40,40,30.3,5.8,14.5,40.1%,2.1,6.4,33.1%,3.7,8.1,0.457,47.4%,3.7,4.6,80.2%,0.4,4.3,4.6,3.1,0.6,0.3,2.2,1.4,17.4,greenja05
187,Jeff Green,PF,37,HOU,39,1,16.4,2.2,4.1,53.5%,0.4,1.2,31.9%,1.8,2.9,0.625,58.2%,1.9,2.3,82.4%,0.7,1.4,2.1,0.7,0.1,0.5,0.7,1.5,6.7,greenje02
188,Josh Green,SG,23,DAL,29,12,25.5,2.8,6,46.3%,1.1,3,36.8%,1.7,3,0.557,55.4%,0.6,1.1,56.3%,0.6,2.4,3,2.5,0.8,0.2,0.9,1.8,7.3,greenjo02
189,AJ Griffin,SF,20,ATL,15,0,8.3,0.8,2.7,30.0%,0.6,2,30.0%,0.2,0.7,0.3,41.3%,0.1,0.1,100.0%,0.1,0.7,0.9,0.3,0.1,0.1,0.4,0.4,2.3,griffaj01
