Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FGpct,Threes,ThreesA,Threepct,Twos,TwosA,Twopct,eFGpct,FT,FTA,FTpct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlayerID
366,Aaron Nesmith,SF,24,IND,36,11,25.4,4.3,8.2,51.7%,2.1,4.5,46.6%,2.1,3.7,0.579,64.5%,1.1,1.6,71.9%,0.8,2.4,3.3,1.1,1.1,0.7,0.9,3.2,11.8,nesmiaa01
367,Georges Niang,PF,30,CLE,39,1,22.1,3.4,7.9,43.4%,1.8,4.9,36.5%,1.6,3,0.547,54.7%,0.5,0.6,83.3%,0.4,3.4,3.7,1.2,0.3,0.2,0.8,2.4,9.2,niangge01
368,Daishen Nix,PG,21,MIN,6,0,3.5,0.5,1.3,37.5%,0.3,0.8,40.0%,0.2,0.5,0.333,50.0%,0,0.3,0.0%,0,0.2,0.2,0,0.2,0,0,0,1.3,nixda01
369,Zeke Nnaji,PF,23,DEN,34,0,9.6,1.2,2.5,47.6%,0.1,0.4,33.3%,1,2,0.507,50.6%,0.7,1.1,64.1%,1.1,1.1,2.2,0.5,0.2,0.6,0.6,1.5,3.2,nnajize01
370,Jaylen Nowell,SG,24,MEM,9,1,17.3,2.4,6.1,40.0%,0.4,2.6,17.4%,2,3.6,0.563,43.6%,0.3,0.3,100.0%,0.3,1.2,1.6,1.8,0.3,0,0.6,1.4,5.7,nowelja01
371,Markquis Nowell,SG,24,TOR,1,0,4,0,1,0.0%,0,0,0.0%,0,1,0,0.0%,2,2,100.0%,2,0,2,2,1,0,0,0,2,nowelma01
372,Frank Ntilikina,PG,25,CHO,1,0,4,0,1,0.0%,0,1,0.0%,0,0,0,0.0%,0,0,0.0%,0,1,1,1,0,0,1,0,0,ntilila01
373,Jusuf Nurkić,C,29,PHO,38,38,27.8,4.7,9.5,49.2%,0.6,2,27.3%,4.1,7.4,0.551,52.1%,2.5,3.5,71.6%,2.8,7.7,10.5,3.4,0.9,1.1,1.9,3.3,12.4,nurkiju01
374,Jordan Nwora,SF,25,IND,18,0,10.2,2.1,4.6,45.1%,0.6,2,30.6%,1.4,2.6,0.565,51.8%,0.5,0.6,81.8%,0.4,1.4,1.8,1,0.3,0.1,0.7,1.1,5.2,nworajo01
375,Royce O'Neale,SF,30,BRK,39,6,25.2,2.6,6.7,38.5%,2,5.4,36.8%,0.6,1.3,0.451,53.3%,0.3,0.5,61.1%,0.8,3.8,4.6,3.1,0.7,0.6,1.1,2.4,7.4,onealro01
376,Chuma Okeke,SF,25,ORL,24,7,13,1.3,3.4,39.5%,0.8,2.5,33.3%,0.5,0.9,0.571,51.9%,0,0.1,33.3%,0.8,2,2.8,0.7,0.3,0.3,0.4,0.5,3.5,okekech01
377,Josh Okogie,SG,25,PHO,34,11,19,1.6,4.1,39.6%,0.4,1.9,23.4%,1.2,2.2,0.533,45.0%,1.7,2.2,76.3%,1.3,1.5,2.8,1.3,0.9,0.5,0.6,1.6,5.4,okogijo01
378,Onyeka Okongwu,C,23,ATL,39,3,24.7,3.7,6.3,58.8%,0.3,1.2,28.3%,3.4,5.1,0.658,61.4%,1.8,2.2,81.6%,2.6,4.2,6.8,1.4,0.4,1,0.8,2.8,9.5,okongon01
379,Isaac Okoro,SF,23,CLE,30,19,26.1,3.1,6.5,48.5%,0.9,2.6,35.1%,2.2,3.9,0.573,55.4%,1.5,2.1,69.8%,1.4,2,3.4,2.1,0.8,0.4,0.9,2.2,8.6,okorois01
380,Kelly Olynyk,C,32,UTA,41,8,20.9,2.9,5.3,54.6%,0.7,1.8,41.7%,2.1,3.5,0.611,61.6%,1.5,1.8,86.1%,1.3,3.8,5.2,4.5,0.9,0.3,1.7,2.7,8,olynyke01
381,Eugene Omoruyi,SF,26,WAS,19,0,5.8,1.7,2.9,58.2%,0.3,0.9,29.4%,1.4,2,0.711,62.7%,0.8,1.1,76.2%,0.6,0.9,1.5,0.6,0.5,0.1,0.5,1.1,4.5,omorueu01
382,Cedi Osman,SF,28,SAS,40,1,18.2,2.8,5.9,47.7%,1.2,3.3,36.9%,1.6,2.6,0.61,57.9%,0.7,1.1,66.7%,0.4,2.2,2.6,1.8,0.5,0.1,0.6,1.6,7.5,osmande01
383,Kelly Oubre Jr.,SF,28,PHI,27,16,27.1,4.9,10.5,46.6%,1.7,4.6,36.0%,3.2,5.9,0.551,54.6%,1.7,2.3,72.6%,1,3.1,4.1,1,1.3,0.4,0.9,2.5,13.1,oubreke01
384,Chris Paul,PG,38,GSW,32,11,27.6,3.3,7.7,42.4%,1.3,3.7,36.1%,1.9,3.9,0.484,51.2%,1.1,1.3,83.3%,0.3,3.5,3.8,7.2,1.1,0.1,1.2,1.8,8.9,paulch01
385,Cameron Payne,PG,29,MIL,39,2,15.3,2.3,4.8,47.3%,1.1,2.8,39.6%,1.1,1.9,0.587,59.1%,0.9,1,89.5%,0.1,1.1,1.2,2.4,0.4,0.1,0.7,1.6,6.5,payneca01
386,Gary Payton II,SG,31,GSW,16,0,16.3,2.3,4.9,45.6%,0.6,2,28.1%,1.7,2.9,0.574,51.3%,0.4,0.6,66.7%,1,2,3,0.8,1.1,0.3,0.6,1.8,5.4,paytoga02
387,Drew Peterson,PF,24,BOS,1,0,3,1,1,100.0%,1,1,100.0%,0,0,0,150.0%,0,0,0.0%,0,0,0,1,0,0,0,1,3,peterdr01
388,Filip Petrušev,C,23,TOT,3,0,3.3,0.3,0.7,50.0%,0,0,0.0%,0.3,0.7,0.5,50.0%,0.3,0.7,50.0%,0,0.3,0.3,0,0,0,0,0.3,1,petrufi01
389,Filip Petrušev,C,23,PHI,1,0,3,0,0,0.0%,0,0,0.0%,0,0,0,0.0%,0,0,0.0%,0,1,1,0,0,0,0,0,0,petrufi01
390,Filip Petrušev,C,23,SAC,2,0,3.5,0.5,1,50.0%,0,0,0.0%,0.5,1,0.5,50.0%,0.5,1,50.0%,0,0,0,0,0,0,0,0.5,1.5,petrufi01
391,Julian Phillips,SF,20,CHI,21,0,4.5,0.4,1.1,33.3%,0,0.6,8.3%,0.3,0.6,0.583,35.4%,0,0.2,25.0%,0.1,0.4,0.5,0.3,0,0.1,0.1,0.6,0.9,phillju01
392,Jalen Pickett,SG,24,DEN,15,0,6,0.7,1.7,44.0%,0.5,1.2,38.9%,0.3,0.5,0.571,58.0%,0.1,0.1,100.0%,0.1,0.7,0.7,0.7,0.2,0,0.4,0.5,2.1,pickeja02
393,Mason Plumlee,C,33,LAC,10,1,15.8,2.3,3.1,74.2%,0,0,0.0%,2.3,3.1,0.742,74.2%,1.5,2.8,53.6%,1.1,3.4,4.5,1.1,0.5,0.4,0.5,1.3,6.1,plumlma01
394,Brandin Podziemski,SG,20,GSW,34,10,24.4,3.6,7.9,45.7%,1.3,3.4,39.1%,2.3,4.5,0.506,54.1%,0.6,1.1,61.1%,1.5,4,5.5,3.3,0.9,0.1,1.2,1.9,9.2,podzibr01
395,Jakob Poeltl,C,28,TOR,36,36,26.5,4.7,6.9,68.5%,0,0,0.0%,4.7,6.9,0.685,68.5%,1.2,2.2,53.2%,2.8,5.6,8.3,2.5,0.7,1.4,1.6,2.9,10.6,poeltja01
396,Aleksej Pokusevski,PF,22,OKC,7,0,6.1,0.3,1.6,18.2%,0.1,1.1,12.5%,0.1,0.4,0.333,22.7%,0.1,0.3,50.0%,0.3,0.9,1.1,0.7,0,0.1,0.4,0.7,0.9,pokusal01
397,Jordan Poole,SG,24,WAS,39,39,29.2,6.1,14.7,41.5%,2,6.5,31.2%,4.1,8.2,0.497,48.4%,2.8,3.3,86.7%,0.4,1.9,2.4,3.6,1,0.3,2.3,3,17.1,poolejo01
398,Craig Porter Jr.,PG,23,CLE,26,5,16.1,3,5.9,50.6%,0.3,0.8,35.0%,2.7,5.2,0.53,52.9%,1,1.5,65.0%,0.5,2.1,2.7,3.2,0.7,0.5,1.1,1,7.3,portecr01
399,Jontay Porter,PF,24,TOR,9,3,16.1,1.9,5,37.8%,0.9,3,29.6%,1,2,0.5,46.7%,0.7,0.7,100.0%,1.2,2.4,3.7,2.6,0.6,1,0.7,2.1,5.3,portejo01
400,Michael Porter Jr.,SF,25,DEN,42,42,31.2,6.3,13,48.2%,2.8,7,40.6%,3.4,6,0.569,59.1%,1,1.4,77.2%,1.2,5.9,7.1,1.5,0.5,0.8,1,2,16.4,portemi01
401,Otto Porter Jr.,SF,30,TOR,15,1,11.6,0.9,2.2,42.4%,0.5,1.5,34.8%,0.4,0.7,0.6,54.5%,0.2,0.2,100.0%,0.4,1.5,1.9,0.5,0.3,0.3,0.1,1.3,2.6,porteot01
402,Bobby Portis,PF,28,MIL,41,0,23.4,5.2,10.2,50.7%,1.1,2.9,37.5%,4.1,7.3,0.56,56.1%,1.2,1.6,77.3%,1.6,5.2,6.8,1,0.7,0.5,1,2.5,12.7,portibo01
403,Kristaps Porziņģis,C,28,BOS,30,30,29.7,6.3,12.1,52.5%,1.6,4.9,32.7%,4.7,7.2,0.66,59.1%,4.8,5.7,83.7%,1.5,5.3,6.8,2,0.7,1.8,1.6,2.8,19.1,porzikr01
404,Micah Potter,PF,25,UTA,2,0,3.5,0,0.5,0.0%,0,0.5,0.0%,0,0,0,0.0%,0,0,0.0%,0,2,2,0,0,0,0,0,0,pottemi01
405,Dwight Powell,C,32,DAL,39,8,16,1.6,2.2,70.9%,0,0.1,50.0%,1.5,2.2,0.714,71.5%,1.4,1.9,75.3%,1.8,2.1,3.9,1.7,0.6,0.4,0.5,2.2,4.6,poweldw01
406,Norman Powell,SG,30,LAC,40,0,25.5,4.7,9.4,49.6%,2.1,4.6,45.4%,2.6,4.8,0.536,60.7%,2.1,2.3,88.2%,0.2,2.2,2.3,1,0.6,0.4,0.9,1.9,13.4,powelno01
407,Joshua Primo,SG,21,LAC,1,0,5,1,2,50.0%,0,1,0.0%,1,1,1,50.0%,0,0,0.0%,0,0,0,0,0,1,3,0,2,primojo01
408,Taurean Prince,PF,29,LAL,40,40,30.7,3.5,8.2,42.6%,2.1,5.5,38.5%,1.4,2.7,0.509,55.5%,0.7,0.9,72.2%,0.3,2.6,2.9,1.8,0.9,0.5,0.9,2.3,9.8,princta02
409,Payton Pritchard,PG,26,BOS,41,0,21.1,2.9,6.8,42.1%,1.7,4.5,37.1%,1.2,2.2,0.522,54.5%,0.6,0.8,77.4%,1,2.2,3.2,3,0.4,0.1,0.6,1.3,8,pritcpa01
410,Olivier-Maxence Prosper,PF,21,DAL,23,0,9.3,1,2.7,34.9%,0.3,1.3,25.8%,0.6,1.4,0.438,41.3%,0.8,1.2,70.4%,0.7,1.6,2.3,0.8,0.1,0.1,0.2,0.7,3.1,prospol01
411,Trevelin Queen,SG,26,ORL,7,0,18.4,1.6,4.1,37.9%,0.4,1.9,23.1%,1.1,2.3,0.5,43.1%,0.7,0.9,83.3%,0.4,1.9,2.3,1.7,0.9,0.7,0.9,2,4.3,queentr01
412,Neemias Queta,C,24,BOS,15,0,13.5,2,3.6,55.6%,0,0,0.0%,2,3.6,0.556,55.6%,0.9,1.2,77.8%,2.1,2.8,4.9,0.5,0.4,0.5,0.4,2.3,4.9,quetane01
413,Immanuel Quickley,SG-PG,24,TOT,40,10,25.9,5.3,11.9,44.4%,2.3,5.6,41.1%,3,6.3,0.474,54.1%,2.9,3.3,87.0%,0.2,2.9,3.1,3.2,0.6,0.1,1.1,1.7,15.8,quickim01
414,Immanuel Quickley,SG,24,NYK,30,0,24,5.1,11.2,45.4%,2.1,5.4,39.5%,2.9,5.8,0.509,54.9%,2.7,3.1,87.2%,0.2,2.4,2.6,2.5,0.5,0.1,1,1.5,15,quickim01
415,Immanuel Quickley,PG,24,TOR,10,10,31.4,6,14.2,42.3%,2.8,6.2,45.2%,3.2,8,0.4,52.1%,3.2,3.7,86.5%,0.4,4.4,4.8,5.2,0.6,0.2,1.1,2.2,18,quickim01
416,Lester Quinones,SG,23,GSW,8,0,6.8,1,2.6,38.1%,0.6,1.5,41.7%,0.4,1.1,0.333,50.0%,0.1,0.3,50.0%,0.4,0.8,1.1,0.6,0.1,0.1,0.5,0.8,2.8,quinole01
417,Julius Randle,PF,29,NYK,42,42,35.7,8.7,18.5,47.1%,1.6,5.4,29.6%,7.1,13.1,0.543,51.4%,5.3,6.8,77.3%,2,7.1,9.1,4.8,0.6,0.3,3.4,2.7,24.2,randlju01
418,Duop Reath,C,27,POR,28,11,18.3,3.5,7.6,46.5%,1.4,3.9,36.7%,2.1,3.7,0.567,55.9%,1.1,1.4,78.9%,1.5,2.7,4.1,1.1,0.6,0.5,0.8,2.4,9.6,reathdu01
419,Austin Reaves,SG,25,LAL,42,17,30.1,5.3,10.6,49.4%,1.5,4.4,35.1%,3.7,6.2,0.595,56.7%,3,3.5,87.1%,0.8,3.4,4.2,5.2,0.9,0.1,2.2,1.8,15.1,reaveau01
420,Cam Reddish,SF,24,LAL,33,26,23.6,2.3,5.8,39.1%,0.9,2.7,33.7%,1.4,3.1,0.437,46.9%,1.1,1.3,83.3%,0.6,1.8,2.4,1.4,1.2,0.2,0.9,1.6,6.5,reddica01
421,Paul Reed,C,24,PHI,39,8,15.5,2.5,4.5,55.4%,0.2,0.5,33.3%,2.3,4,0.58,57.1%,0.7,0.9,72.2%,1.8,2.7,4.5,1.2,0.7,0.8,0.8,2.2,5.8,reedpa01
422,Naz Reid,C,24,MIN,41,0,22.5,4.8,9.6,50.5%,2,4.8,41.0%,2.9,4.8,0.599,60.7%,1.2,1.5,79.4%,1,3.7,4.8,1.1,0.8,0.6,1.2,2,12.8,reidna01
423,Jared Rhoden,SG,24,DET,5,0,6,1,1.8,55.6%,0.2,0.8,25.0%,0.8,1,0.8,61.1%,0.4,0.4,100.0%,0.2,0.6,0.8,0.6,0,0,0.4,0.8,2.6,rhodeja01
424,Nick Richards,C,26,CHO,32,19,24.3,3.4,5.1,67.5%,0,0,0.0%,3.4,5.1,0.675,67.5%,1.8,2.4,76.3%,2.4,5.2,7.6,0.8,0.4,1.3,0.9,2.7,8.7,richani01
425,Josh Richardson,SG,30,MIA,32,4,26.9,3.5,8.2,43.1%,1.5,4.3,34.1%,2.1,3.9,0.532,52.1%,1.3,1.4,93.3%,0.4,2.3,2.7,2.7,0.6,0.3,1,1.8,9.8,richajo01
426,Duncan Robinson,SF,29,MIA,39,17,28.9,4.8,10.6,45.9%,2.9,7.1,41.1%,1.9,3.5,0.555,59.6%,1.3,1.5,86.7%,0.3,2.4,2.7,3.1,0.6,0.2,1.4,2.2,13.9,robindu01
427,Jerome Robinson,SG,26,GSW,6,0,3.8,0,1.2,0.0%,0,0.7,0.0%,0,0.5,0,0.0%,0.7,1,66.7%,0.2,0.3,0.5,0.2,0,0.2,0,0.2,0.7,robinje01
428,Mitchell Robinson,C,25,NYK,21,21,29.2,2.8,4.7,59.2%,0,0,0.0%,2.8,4.7,0.592,59.2%,0.7,1.8,36.8%,5.3,5,10.3,0.7,1.5,1.3,1,1.9,6.2,robinmi01
429,Orlando Robinson,C,23,MIA,17,7,12.8,1.8,3.5,52.5%,0.4,0.7,58.3%,1.4,2.8,0.511,58.5%,0.6,0.9,68.8%,1.1,2.5,3.5,1.5,0.3,0.4,0.8,1.7,4.7,robinor01
430,Jeremiah Robinson-Earl,PF,23,NOP,17,1,11.5,1.6,3,52.9%,0.5,1.1,42.1%,1.1,1.9,0.594,60.8%,0.4,0.4,100.0%,0.6,2,2.6,0.5,0.4,0.2,0.5,0.8,4,robinje02
431,David Roddy,PF,22,MEM,38,9,22.2,3,7.3,41.2%,1,3.2,31.7%,2,4.1,0.484,48.0%,0.9,1.3,71.4%,0.9,2.9,3.8,1.3,0.5,0.2,0.9,1.3,7.9,roddyda01
432,Ryan Rollins,PG,21,WAS,10,0,6.6,1.3,2.5,52.0%,0.2,0.3,66.7%,1.1,2.2,0.5,56.0%,1.3,1.7,76.5%,0.2,0.9,1.1,1.1,0.8,0.3,0.7,0.7,4.1,rolliry01
433,Derrick Rose,PG,35,MEM,17,7,17.9,3.3,7.5,43.8%,0.6,1.9,33.3%,2.6,5.6,0.474,48.0%,1.1,1.2,90.5%,0.4,1.4,1.8,3.4,0.4,0.1,1.3,1.1,8.4,rosede01
434,Terry Rozier,SG,29,CHO,27,27,35.6,8.6,18.6,46.1%,3,7.9,38.3%,5.5,10.6,0.519,54.3%,3.9,4.4,87.5%,0.6,3.1,3.7,6.7,1.1,0.4,2,1.8,24,roziete01
435,Rayan Rupert,SG,19,POR,13,0,7.6,0.9,2.7,34.3%,0.5,1.1,42.9%,0.5,1.6,0.286,42.9%,0.2,0.5,50.0%,0.4,1,1.4,0.8,0.2,0,0.5,0.5,2.5,ruperra01
436,D'Angelo Russell,PG,27,LAL,38,31,29.4,5.9,12.6,47.3%,2.2,5.6,40.1%,3.7,7,0.53,56.2%,1.6,2.1,77.2%,0.3,2.4,2.8,6.1,0.8,0.5,1.9,1.9,15.7,russeda01
437,Matt Ryan,SF,26,NOP,13,1,22.9,2.9,6.4,45.8%,2.5,5.2,47.1%,0.5,1.2,0.4,65.1%,1,1.1,92.9%,0.4,1.9,2.3,1.1,0.4,0.1,1.2,1.8,9.3,ryanma01
438,Domantas Sabonis,C,27,SAC,41,41,35.2,8.1,13.2,61.4%,0.5,1.1,41.3%,7.6,12.1,0.632,63.1%,3.5,5.2,66.8%,3.3,9.3,12.6,8,0.8,0.6,3.3,3.2,20.1,sabondo01
439,Luka Šamanić,PF,24,UTA,19,0,6.4,1.1,2.9,38.2%,0.3,1.1,25.0%,0.8,1.8,0.457,42.7%,0.6,0.7,84.6%,0.4,1.6,2,0.2,0.1,0.1,0.5,0.7,3.1,samanlu01
440,Jermaine Samuels,SF,25,HOU,6,0,6.3,0.8,1.2,71.4%,0,0.3,0.0%,0.8,0.8,1,71.4%,0.3,0.3,100.0%,0.2,1.2,1.3,0.3,0.2,0.2,0,0.5,2,samueje01
441,Adama Sanogo,PF,21,CHI,3,0,3.7,1,1,100.0%,0,0,0.0%,1,1,1,100.0%,0.7,1,66.7%,0.7,1.3,2,0,0,0,0.3,0,2.7,sanogad01
442,Gui Santos,PF,21,GSW,5,0,6.4,0.8,2,40.0%,0.2,1.2,16.7%,0.6,0.8,0.75,45.0%,1.2,1.2,100.0%,0.8,1.4,2.2,0.4,0,0,0.4,0.6,3,santogu01
443,Dario Šarić,C,29,GSW,40,7,20.9,3.6,7.6,48.0%,1.5,3.9,39.6%,2.1,3.7,0.568,58.1%,1.7,2,85.0%,1.4,4.3,5.7,2.4,0.6,0.2,1.3,2.2,10.5,saricda01
444,Olivier Sarr,C,24,OKC,9,0,7.6,0.7,1.2,54.5%,0.2,0.6,40.0%,0.4,0.7,0.667,63.6%,0.7,0.9,75.0%,0.7,2.2,2.9,0.2,0,0.6,0.2,1.6,2.2,sarrol01
445,Marcus Sasser,PG,23,DET,37,0,15.2,2.5,5.5,46.3%,1,2.5,41.3%,1.5,3,0.505,55.7%,0.6,0.7,88.0%,0.2,1.4,1.6,2.6,0.5,0.2,0.9,1.3,6.7,sassema01
446,Admiral Schofield,PF,26,ORL,11,0,4,0.5,1.2,38.5%,0.2,0.7,25.0%,0.3,0.5,0.6,46.2%,0,0.2,0.0%,0.1,0.5,0.5,0.4,0,0,0.4,0.6,1.1,schofad01
447,Dennis Schröder,PG,30,TOR,42,31,31.4,5.1,11.3,45.6%,1.6,4.5,36.2%,3.5,6.8,0.517,52.7%,2.4,2.8,85.3%,0.4,2.3,2.7,6.5,0.8,0.1,1.5,2.1,14.3,schrode01
448,Dereon Seabron,SG,23,NOP,5,0,10.4,0.8,2.6,30.8%,0.2,0.4,50.0%,0.6,2.2,0.273,34.6%,1,1.2,83.3%,0.2,1.2,1.4,0.8,0.4,0.2,0,0.8,2.8,seabrde01
449,Alperen Şengün,C,21,HOU,40,40,32.3,8.5,15.9,53.6%,0.6,2.1,28.0%,7.9,13.8,0.574,55.4%,4,5.5,71.8%,2.6,6.4,9,4.9,1.2,0.8,2.6,3.3,21.5,sengual01
450,Brice Sensabaugh,SF,20,UTA,4,0,3,0.5,1.5,33.3%,0.3,0.5,50.0%,0.3,1,0.25,41.7%,0,0,0.0%,0.3,0.5,0.8,0.5,0,0,0,0.3,1.3,sensabr01
451,Collin Sexton,SG,25,UTA,43,20,23.8,5.8,11.8,49.0%,1.5,3.9,38.0%,4.3,8,0.544,55.2%,4.1,4.7,88.6%,0.8,1.8,2.6,4,0.7,0.2,1.8,2.1,17.2,sextoco01
452,Landry Shamet,SG,26,WAS,24,0,15.9,3,6.3,47.3%,1.4,3.5,40.0%,1.5,2.7,0.569,58.7%,0.7,1,66.7%,0.2,1.1,1.3,1.3,0.6,0.3,0.7,1.8,8,shamela01
453,Day'Ron Sharpe,C,22,BRK,37,1,16,3,5.2,57.5%,0,0.2,14.3%,3,5,0.591,57.8%,1.5,2.4,61.4%,2.8,4.2,7,1.4,0.5,0.9,1,2.3,7.5,sharpda01
454,Shaedon Sharpe,SG,20,POR,32,25,33.1,5.5,13.6,40.6%,1.9,5.6,33.3%,3.6,7.9,0.457,47.5%,3.1,3.7,82.4%,1.3,3.7,5,2.9,0.9,0.4,2.3,2.8,15.9,sharpsh01
455,Ben Sheppard,SG,22,IND,19,0,8.5,1,2.6,38.0%,0.5,1.7,30.3%,0.5,0.9,0.529,48.0%,0.4,0.5,70.0%,0.2,0.7,0.9,0.7,0.4,0,0.1,1,2.9,sheppbe01
456,Pascal Siakam,PF,29,TOR,39,39,34.7,8.3,16,52.2%,1.2,3.7,31.7%,7.2,12.3,0.584,55.9%,4.3,5.7,75.8%,1.4,4.9,6.3,4.9,0.8,0.3,2.1,2.2,22.2,siakapa01
457,Ben Simmons,PG,27,BRK,6,6,31.8,3.2,6,52.8%,0,0,0.0%,3.2,6,0.528,52.8%,0.2,0.7,25.0%,2.7,8.2,10.8,6.7,0.5,0.8,2.5,2.7,6.5,simmobe01
458,Anfernee Simons,SG,24,POR,19,19,33,7.7,18.5,41.8%,3.3,8.5,38.3%,4.5,10,0.447,50.6%,4.2,4.7,89.9%,0.5,3,3.5,4.9,0.5,0.1,2.3,1.8,22.9,simonan01
459,Jericho Sims,C,25,NYK,18,5,6.4,0.6,0.8,66.7%,0,0,0.0%,0.6,0.8,0.667,66.7%,0.2,0.3,60.0%,0.3,1.1,1.4,0.2,0.1,0.1,0.2,0.8,1.3,simsje01
460,Dmytro Skapintsev,C,25,NYK,2,0,1,0,0.5,0.0%,0,0,0.0%,0,0.5,0,0.0%,0,0,0.0%,0,0,0,0,0,0,0,0,0,skapidm01
461,Jalen Slawson,SF,24,SAC,5,0,3.8,0.4,0.6,66.7%,0,0.2,0.0%,0.4,0.4,1,66.7%,0,0,0.0%,0,0.8,0.8,0.4,0,0.2,0.4,0.6,0.8,slawsja01
462,Javonte Smart,PG,24,PHI,1,0,1,0,0,0.0%,0,0,0.0%,0,0,0,0.0%,0,0,0.0%,0,0,0,0,0,0,0,0,0,smartja01
463,Marcus Smart,PG,29,MEM,20,20,30.3,5.1,11.9,43.0%,2.1,6.7,31.3%,3,5.2,0.583,51.9%,2.2,2.8,76.8%,0.3,2.4,2.7,4.3,2.1,0.3,3.1,2.7,14.5,smartma01
464,Dennis Smith Jr.,PG,26,BRK,25,1,19.8,2.8,6.7,41.3%,0.5,2,26.5%,2.2,4.7,0.475,45.2%,1,1.2,80.6%,1,2.4,3.4,4.2,1.1,0.2,1.1,2.4,7,smithde03
465,Dru Smith,SG,26,MIA,9,0,14.6,1.7,3.7,45.5%,0.8,1.9,41.2%,0.9,1.8,0.5,56.1%,0.2,0.2,100.0%,0.7,0.9,1.6,1.6,1,0.3,0.6,1.3,4.3,smithdr01
466,Ish Smith,PG,35,CHO,32,2,16.6,1.7,3.7,46.2%,0.1,0.2,33.3%,1.6,3.5,0.468,47.0%,0.1,0.1,75.0%,0.3,1.3,1.7,3.1,0.3,0.1,1.2,1,3.5,smithis01
467,Jabari Smith Jr.,PF,20,HOU,39,39,31.4,4.9,10.4,47.4%,1.6,4.4,37.6%,3.3,6,0.545,55.3%,1.9,2.3,82.2%,1.9,6.8,8.7,1.5,0.5,0.8,1.3,2.9,13.4,smithja05
468,Jalen Smith,C,23,IND,28,12,17.9,4,6.3,62.7%,1.1,2.3,46.9%,2.9,4,0.717,71.2%,1.3,1.8,72.5%,1.4,4.2,5.6,1.1,0.2,0.5,0.9,2.4,10.3,smithja04
469,Nick Smith Jr.,SG,19,CHO,23,0,14.9,2.7,6.2,43.0%,1.4,3,45.7%,1.3,3.1,0.403,54.2%,0.1,0.2,75.0%,0.6,1.1,1.7,1.1,0.1,0.3,0.9,1.2,6.8,smithni01
470,Jeremy Sochan,PF,20,SAS,40,39,29.4,4.3,10,43.0%,1,2.7,37.0%,3.3,7.3,0.452,48.0%,1.6,2,78.5%,1.6,4.1,5.6,3.9,0.7,0.4,2,2.4,11.2,sochaje01
471,Jaden Springer,SG,21,PHI,24,0,9.9,1.1,3.2,35.1%,0.2,1,20.0%,0.9,2.2,0.423,38.3%,0.5,0.8,72.2%,0.8,0.6,1.4,0.9,0.5,0.4,0.8,1.4,3,sprinja01
472,Lamar Stevens,PF,26,BOS,16,1,6.4,0.9,2.1,44.1%,0.1,0.4,28.6%,0.8,1.7,0.481,47.1%,0.4,0.5,75.0%,0.5,0.9,1.4,0.4,0.4,0.3,0.4,0.8,2.4,stevela01
473,Isaiah Stewart,PF,22,DET,31,31,30.6,4,8.6,46.6%,1.5,3.8,38.5%,2.6,4.9,0.53,55.0%,1.3,1.7,73.6%,1.8,5.1,6.9,1.8,0.3,0.7,1.6,2.5,10.8,stewais01
474,Julian Strawther,SF,21,DEN,33,0,13.9,2.2,5.6,38.4%,1.1,3.5,32.2%,1,2.1,0.486,48.4%,0.5,0.7,69.6%,0.1,1.4,1.5,1.1,0.5,0.2,0.5,1.4,5.9,strawju01
475,Max Strus,SF,27,CLE,39,39,33.5,4.6,11.6,39.7%,2.6,7.8,33.7%,2,3.8,0.52,51.0%,1.1,1.3,80.4%,0.7,4.3,5,3.7,0.9,0.6,1.6,2.7,12.9,strusma01
476,Jalen Suggs,SG,22,ORL,37,37,26.8,4.6,10.1,46.1%,2.1,5.2,39.6%,2.6,4.9,0.53,56.3%,1.7,2.2,75.6%,0.7,2.7,3.4,2.4,1.3,0.7,2,2.9,13,suggsja01
477,Cole Swider,SF,24,MIA,8,0,4.8,1.1,2.4,47.4%,0.6,1.8,35.7%,0.5,0.6,0.8,60.5%,0,0,0.0%,0.1,0.1,0.3,0.4,0.1,0.1,0.4,0.1,2.9,swideco01
478,Jae'Sean Tate,SF,28,HOU,38,9,18.8,1.9,3.9,48.3%,0.5,1.6,30.0%,1.4,2.3,0.607,54.4%,0.5,0.7,71.4%,1,2.6,3.6,1.1,0.7,0.2,0.4,2.5,4.8,tateja01
479,Jayson Tatum,PF,25,BOS,38,38,35.8,9.2,19.3,47.5%,3.1,8.4,37.3%,6,10.9,0.554,55.7%,5.6,6.9,81.0%,0.9,7.5,8.4,4.4,1,0.5,2.7,2.1,27.1,tatumja01
480,Terry Taylor,PF,24,CHI,15,0,6.9,0.8,1.4,57.1%,0,0.3,0.0%,0.8,1.1,0.75,57.1%,0.1,0.1,100.0%,0.7,0.5,1.2,0.2,0.2,0.1,0.4,0.7,1.7,taylote01
481,Garrett Temple,SG,37,TOR,10,0,4.1,0.6,1,60.0%,0.2,0.4,50.0%,0.4,0.6,0.667,70.0%,0.2,0.2,100.0%,0.1,0.5,0.6,0.6,0.2,0,0.2,0.3,1.6,templga01
482,Dalen Terry,SG,21,CHI,27,1,9.8,0.7,2,37.0%,0.2,1.1,19.4%,0.5,0.9,0.609,42.6%,0.4,0.5,78.6%,0.3,1.3,1.6,1.1,0.2,0.3,0.6,1.2,2.1,terryda01
